代码,公告,支付金额(元)
002448.SZ,2019/10/8,"88,186,163.23"
002444.SZ,2019/10/8,"105,492,690.23"
002408.SZ,2019/10/8,"69,535,353.00"
002404.SZ,2019/10/8,"39,995,403.90"
002369.SZ,2019/10/8,"75,252,122.95"
002229.SZ,2019/10/8,
002168.SZ,2019/10/8,"147,613,580.50"
002084.SZ,2019/10/8,"118,723,796.44"
002020.SZ,2019/10/8,"378,169,400.00"
002013.SZ,2019/10/8,"101,972,622.44"
000876.SZ,2019/10/8,"558,370,676.90"
000672.SZ,2019/10/8,"174,010,797.50"
603588.SH,2019/10/1,
603507.SH,2019/10/1,
600510.SH,2019/10/1,"198,155,661.42"
600285.SH,2019/10/1,"152,848,514.05"
600136.SH,2019/10/1,"17,987,600.00"
600114.SH,2019/10/1,"197,997,800.00"
300469.SZ,2019/9/30,"14,997,799.42"
603668.SH,2019/9/28,"1,997,538.00"
600963.SH,2019/9/28,"136,436,400.00"
600738.SH,2019/9/28,"160,378,161.39"
002818.SZ,2019/9/28,
002593.SZ,2019/9/28,"15,994,981.00"
000615.SZ,2019/9/28,"108,988,912.00"
601666.SH,2019/9/27,"205,781,470.95"
600603.SH,2019/9/27,"207,007,689.21"
002603.SZ,2019/9/27,"150,013,213.79"
002534.SZ,2019/9/27,"3,668,380.16"
002206.SZ,2019/9/27,"262,251,183.95"
600572.SH,2019/9/26,"585,149,682.93"
600545.SH,2019/9/26,"21,655,229.36"
000960.SZ,2019/9/26,"174,644,804.19"
000100.SZ,2019/9/26,"1,653,578,828.72"
300058.SZ,2019/9/25,"142,054,836.41"
002534.SZ,2019/9/25,
002032.SZ,2019/9/25,
603816.SH,2019/9/24,"1,014,370.00"
601208.SH,2019/9/24,"82,179,805.04"
600400.SH,2019/9/24,"2,114,155.00"
600280.SH,2019/9/24,"33,743,397.40"
002661.SZ,2019/9/24,"46,038,700.00"
002221.SZ,2019/9/23,"600,002,314.82"
603816.SH,2019/9/21,
601058.SH,2019/9/21,"371,307,326.07"
600636.SH,2019/9/21,
002831.SZ,2019/9/21,"2,007,603.60"
002624.SZ,2019/9/21,"2,013,357.00"
002562.SZ,2019/9/21,"30,000,260.48"
