,index,code,time,money,year
2616,377,002587.SZ,2019/10/9,31918883.05,2019
2621,2285,002589.SZ,2019/5/9,9057791.5,2019
2623,1852,002589.SZ,2019/6/5,60399950.8,2019
2629,6791,002591.SZ,2018/2/2,394100,2018
2646,898,002591.SZ,2019/8/22,6955746.96,2019
2648,6407,002592.SZ,2018/7/5,18441399.68,2018
2659,4781,002592.SZ,2018/12/20,193167744.3,2018
2663,3159,002593.SZ,2019/3/16,1113932.08,2019
2671,7071,002597.SZ,2016/1/5,37745217.02,2016
2673,7056,002597.SZ,2016/1/19,1739361.52,2016
2675,6170,002597.SZ,2018/8/16,80600036.04,2018
2676,6118,002597.SZ,2018/9/1,19192147.4,2018
2678,2213,002597.SZ,2019/5/17,3836264,2019
2685,65,002597.SZ,2019/11/2,139408576.4,2019
2687,6161,002599.SZ,2018/8/21,996211,2018
2699,6951,002601.SZ,2017/4/6,149941650.9,2017
2705,6906,002601.SZ,2017/8/24,400866970.3,2017
2707,6009,002601.SZ,2018/9/5,23013271.57,2018
2714,4137,002601.SZ,2019/1/29,750108799.7,2019
2716,5370,002602.SZ,2018/11/12,212746574.9,2018
2729,374,002602.SZ,2019/10/9,1581175974,2019
2732,4847,002603.SZ,2018/12/13,4808185,2018
2744,64,002603.SZ,2019/11/2,150013213.8,2019
2749,1768,002605.SZ,2019/6/14,4998869.44,2019
2754,6695,002609.SZ,2018/3/27,24485279.08,2018
2768,6957,002610.SZ,2017/3/24,31950110.54,2017
2769,6955,002610.SZ,2017/3/25,17681944.66,2017
2782,5725,002611.SZ,2018/10/11,10400300,2018
2794,1275,002611.SZ,2019/7/30,160000000,2019
2799,5752,002614.SZ,2018/10/10,6571759.68,2018
2812,530,002614.SZ,2019/9/17,100029900,2019
2815,3203,002617.SZ,2019/3/9,9996297,2019
2817,2740,002617.SZ,2019/4/4,15098492.86,2019
2819,6166,002619.SZ,2018/8/17,1983970,2018
2831,1450,002619.SZ,2019/7/3,30011327.4,2019
2833,6209,002624.SZ,2018/8/8,19997231.12,2018
2846,1274,002624.SZ,2019/7/30,549634912,2019
2849,507,002624.SZ,2019/9/21,2013357,2019
2854,4380,002626.SZ,2019/1/4,952435.88,2019
2866,62,002626.SZ,2019/11/2,95778465.49,2019
2873,1767,002634.SZ,2019/6/14,1929630.56,2019
2880,5330,002635.SZ,2018/11/17,7999715.79,2018
2883,7061,002653.SZ,2016/1/8,112135800.1,2016
2884,7043,002653.SZ,2016/2/3,87755852.19,2016
2893,4883,002658.SZ,2018/12/8,633420,2018
2904,367,002658.SZ,2019/10/9,80878331.43,2019
2908,6415,002661.SZ,2018/7/4,1057518,2018
2926,2738,002665.SZ,2019/4/4,22834655.56,2019
2932,365,002665.SZ,2019/10/9,18765229.7,2019
2935,1757,002669.SZ,2019/6/15,1855346.8,2019
2941,155,002669.SZ,2019/10/31,38145297,2019
2943,6712,002670.SZ,2018/3/22,52229658.59,2018
2949,6116,002670.SZ,2018/9/1,109048195.2,2018
